monogram_id,labels_saranga,labels_ezechiel,labels_barry,quality_label,Remarks,Remarks2,split
133__5.254__435,0,M0,M1,0,,,train
24__8.17__438,0,M1,M0,0,,,train
107__5.254__435,0,M0,M1,0,,,train
61__5.96__34,0,M1,M1,0,Quite clear,,train
218__5.165__389,0,M1,M0,0,,,train
173__5.111__46,0,M2,M0,0,Why M2 eze?,,train
292__2.22__322,0,M2,M0,0,,,train
181__2.44__59,0,M1,M0,0,,,train
101__5.76-77__335,0,M1,M1,0,very clear,,train
93__2.25__97,0,M1,M1,0,very clear,,train
187__5.139__9,0,M2,M0,0,"why M2, eze?",,train
145__4.32__379,0,M0,M1,0,,,train
278__8.40__436,0,M2,M0,0,,"why M2, eze?",train
58__5.54__392,0,M0,M0,0,,,train
40__8.18__584,0,M0,M0,0,,,train
177__2.61__278,0,M1,M0,0,,,train
88__4.14__74,0,M1,M0,0,,,train
108__5.82__373,0,M1,M1,0,quite clear,,train
44__3.12__510,0,M2,M1,0,clash,"very clear, why M2 eze?",train
179__5.122__202,0,M1,M0,0,,,train
289__3.49__114,0,M2,M1,0,clearly visible,,train
45__3.28__511,0,M1,M0,0,,,train
235__5.176__61,0,M1,M0,0,,,train
253__5.191__234,0,M0,M0,0,,,train
69__3.14__96,0,M1,M1,0,Quite clear,,train
9__4.47__62,0,M2,M0,0,Why M2 eze?,,train
75__5.59__100,0,M2,M0,0,Why M2 eze?,,train
47__5.44__16,0,M1,M0,0,,,train
312__5.227__376,0,M1,M1,0,quite clear,,train
248__5.17__260,0,M1,M1,0,"Clearly visible, good contrast",,train
140__5.248__106,0,M1,M1,0,,,train
307__3.49__114,0,M2,M0,0,,,train
50__3.16__440,0,M0,M0,0,,,train
283__2.32__210,0,M1,M0,0,,,train
81__5.65__101,0,M2,M0,0,Why M2 eze?,,train
162__3.16__440,0,M1,M1,0,quite clear,,train
264__5.193-195__458,0,M0,M1,0,,,train
124__5.67-68__183,0,M1,M2,0,clash,quite clear,train
105__4.11__63,0,M1,M1,0,very clear,Why M1 barry eze?,train
41__8.18__582,1,M0,M0,0,,,train
134__2.20__193,0,M0,M1,0,,,train
42__8.18__581,1,M0,M0,0,,,train
321__3.14__96,0,M2,M0,0,,,train
104__5.80__381,1,M2,M2,1,contrast problem,,train
151__2.48__313,1,M1,M2,1,,,train
170__5.106__27,1,M1,M2,1,,,train
305__5.226__707,1,M1,M1,1,,,train
276__4.38__434,1,M1,M2,1,,,train
135__5.245__178,1,M2,M2,1,"why M2 eze, barry?",,train
280__5.27__37,1,M2,M0,1,clash,,train
52__5.9__319,1,M1,M2,1,,,train
313__7.6__499,1,M1,M2,1,,,train
62__2.10__95,1,M0,M2,1,clash,top part is slightly broken,train
334__2.18__324,1,M0,M1,1,,,train
117__4.36__696,1,M0,M2,1,clash,,train
90__4.4__30,1,M2,M2,1,"nothing broken, just contrast problem",,train
83__2.23__327,1,M2,M1,1,,,train
8__5.5__258,1,M1,M0,1,,,train
324__2.17__209,1,M1,M1,1,,,train
37__5.40__204,1,M1,M2,1,,,train
214__4.3__367,1,M2,M2,1,,,train
198__3.33__320,1,M1,M2,1,,,train
241__5.182-183__212,1,M1,M2,1,,,train
175__5.109-110__721,1,M3,M2,1,clash,poor contrast,train
302__5.221__165,1,M1,M1,1,,,train
155__5.171__355,0,M2,M2,1,"why M2 eze, barry?",,train
274__8.39__461,1,M1,M2,1,,,train
160__3.10__439,1,M1,M2,1,,,train
16__5.8__230,0,M1,M1,1,,,train
139__2.4__371,1,M2,M2,1,Only part of ligature broken,,train
247__5.186__303,0,M1,M1,1,,,train
315__5.228__717,1,M1,M0,1,,,train
166__5.141-142__307,1,M1,M2,1,,,train
67__5.94__94,1,M1,M2,1,,,train
5__4.4__30,1,M1,M1,1,,,train
87__4.6__53,1,M2,M2,1,only contrast problem,,train
180__5.135__284,1,M1,M1,1,,,train
320__5.94__94,1,M0,M2,1,clash,,train
122__5.269__216,1,M1,M2,1,,,train
98__5.71-72__516,1,M1,M1,1,,,train
197__5.152__188,0,M2,M1,1,clash,"confusion, other symbols present",train
